Fund,Expense_Ratio
HDFC Top 100 Fund,1.82
SBI Bluechip Fund,2.25
ICICI Pru Focused Equity,0.96
Axis Bluechip Fund,2.15
Mirae Asset Large Cap,1.02
Kotak Bluechip Fund,1.66
Nippon India Large Cap,2.37
UTI Mastershare Fund,1.52
Canara Robeco Bluechip,0.69
DSP Top 100 Equity Fund,2.29
Franklin India Bluechip,1.67
Tata Large Cap Fund,0.64
Aditya Birla SL Frontline,0.52
Invesco India Largecap,1.02
IDFC Large Cap Fund,0.74
HDFC Mid-Cap Opportunities,1.76
SBI Magnum Midcap Fund,1.69
ICICI Pru Midcap Fund,2.18
Axis Midcap Fund,1.53
Mirae Asset Midcap Fund,1.01
Kotak Emerging Equity,0.6
Nippon India Growth Fund,0.52
UTI Mid Cap Fund,2.35
DSP Midcap Fund,0.79
Franklin India Prima Fund,1.5
HDFC Small Cap Fund,2.09
SBI Small Cap Fund,2.36
ICICI Pru Smallcap Fund,0.9
Axis Small Cap Fund,0.96
Nippon India Small Cap,0.86
Kotak Small Cap Fund,0.82
DSP Small Cap Fund,1.41
Tata Small Cap Fund,1.77
HDFC Flexi Cap Fund,1.91
SBI Flexi Cap Fund,1.15
Parag Parikh Flexi Cap,1.75
UTI Flexi Cap Fund,0.5
Canara Robeco Flexi Cap,2.28
PGIM India Flexi Cap,2.24
Mirae Asset Flexi Cap Fund,1.59
